2025-03-08 23:15:10,955 - RaspberryPiConnector - INFO - Using configuration from environment variables
2025-03-08 23:15:10,956 - RaspberryPiConnector - INFO - Raspberry Pi Connector initialized
2025-03-08 23:15:10,963 - RaspberryPiConnector - INFO - Connected to MQTT broker at localhost:1883
2025-03-08 23:15:10,963 - RaspberryPiConnector - INFO - Connected to MQTT broker
2025-03-08 23:15:10,963 - RaspberryPiConnector - INFO - Subscribed to topic: actuator/valve/pipeline001/dev010
2025-03-08 23:15:10,965 - RaspberryPiConnector - INFO - Successfully registered with catalog
2025-03-08 23:15:10,965 - RaspberryPiConnector - INFO - Started catalog update thread
2025-03-08 23:15:10,980 - RaspberryPiConnector - INFO - Successfully updated status with catalog
2025-03-08 23:15:11,142 - RaspberryPiConnector - INFO - Published: Temperature=55.27°C, Pressure=6.15 bar
2025-03-08 23:15:11,143 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:15:13,149 - RaspberryPiConnector - INFO - Published: Temperature=63.79°C, Pressure=6.67 bar
2025-03-08 23:15:13,149 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:15:15,156 - RaspberryPiConnector - INFO - Published: Temperature=61.94°C, Pressure=7.67 bar
2025-03-08 23:15:15,156 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:15:17,158 - RaspberryPiConnector - INFO - Published: Temperature=67.63°C, Pressure=7.52 bar
2025-03-08 23:15:17,158 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:15:19,160 - RaspberryPiConnector - INFO - Published: Temperature=69.66°C, Pressure=8.57 bar
2025-03-08 23:15:19,161 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:15:21,167 - RaspberryPiConnector - INFO - Published: Temperature=78.69°C, Pressure=7.6 bar
2025-03-08 23:15:21,167 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:15:23,173 - RaspberryPiConnector - INFO - Published: Temperature=68.72°C, Pressure=7.14 bar
2025-03-08 23:15:23,174 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:15:25,181 - RaspberryPiConnector - INFO - Published: Temperature=65.05°C, Pressure=7.93 bar
2025-03-08 23:15:25,182 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:15:27,188 - RaspberryPiConnector - INFO - Published: Temperature=72.98°C, Pressure=7.94 bar
2025-03-08 23:15:27,188 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:15:29,190 - RaspberryPiConnector - INFO - Published: Temperature=79.43°C, Pressure=7.65 bar
2025-03-08 23:15:29,191 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:15:31,197 - RaspberryPiConnector - INFO - Published: Temperature=67.81°C, Pressure=10.53 bar
2025-03-08 23:15:31,197 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:15:33,201 - RaspberryPiConnector - INFO - Published: Temperature=70.97°C, Pressure=6.05 bar
2025-03-08 23:15:33,201 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:15:35,205 - RaspberryPiConnector - INFO - Published: Temperature=67.69°C, Pressure=7.05 bar
